Text,Label
nikal yahan se naali ke keede kahin ke,Negative
nikal yahan se naali ke keede,Negative
nikal yahan se suar ki aulad,Negative
normal chal raha hai sab kuch,Neutral
normal din guzar gaya,Neutral
normal din tha kuch alag nahi,Neutral
normal din tha kuch khas nahi,Neutral
normal din tha wahi wala,Neutral
normal din tha,Neutral
normal guzar raha hai sab,Neutral
normal hai din abhi,Neutral
normal hai situation abhi,Neutral
normal life chal rahi hai,Neutral
normal sa din guzar gaya,Neutral
normal sa din tha,Neutral
normal sa din,Neutral
normal zindagi chal rahi hai,Neutral
okay chal raha hai sab kuch,Neutral
okay chal raha hai sab yaar,Neutral
okay chal raha hai yaar,Neutral
okay chal rahi hai zindagi,Neutral
okay hai bas,Neutral
okay hai magar bohut bhi nahi,Neutral
okay hai magar outstanding nahi hai,Neutral
okay hai magar outstanding nahi,Neutral
okay hai sab kuch,Neutral
okay hai sab yaar,Neutral
okay hai situation abhi ke liye,Neutral
okay hai situation,Neutral
okay okay bas yahi hai,Neutral
okay raha din bhar,Neutral
okay tha bas okay hi tha,Neutral
okay tha khana aur kuch theek,Neutral
okay tha sab kuch,Neutral
okay tha yaar kuch khas nahi,Neutral
price thori zyada lagti hai,Neutral
roz ka wahi kaam wahi zindagi,Neutral
roz ki tarah din guzar gaya,Neutral
roz ki tarah din tha aaj bhi,Neutral
roz ki tarah normal din tha,Neutral
roz ki tarah normal raha,Neutral
roz ki tarah normal sa din,Neutral
roz ki tarah theek tha,Neutral
roz ki tarah wahi wali zindagi,Neutral
roz ki zindagi chal rahi hai bas,Neutral
roz ki zindagi normal,Neutral
roz ki zindagi wahi hai,Neutral
roz ki zindagi wahi wali hai,Neutral
sab kuch apni jagah theek hai,Neutral
sab kuch apni jagah theek sa,Neutral
sab kuch normal chal raha hai yaar,Neutral
sab kuch normal chal raha hai,Neutral
sab kuch normal raha,Neutral
sab kuch normal theek hai,Neutral
sab kuch okay hai abhi,Neutral
sab kuch okay hai kuch nahi khaas,Neutral
sab kuch okay normal chal raha,Neutral
sab kuch okay raha din bhar,Neutral
sab kuch theek chal raha hai,Neutral
sab kuch thoda normal hai,Neutral
sab okay hai situation normal,Neutral
sab okay hai situation theek,Neutral
sab theek chal raha hai bas,Neutral
sab theek chal raha hai,Neutral
sab theek hai kuch khaas nahi,Neutral
sach mein dil khush ho gaya,Positive
scene okay hai abhi ke liye,Neutral
scene theek hai abhi ke liye,Neutral
seedha jawab do koi ghuma phiray nahi,Neutral
service kaafi theek thi,Neutral
sharam aani chahiye teri is harkat pe,Negative
sharam aani chahiye teri soch pe,Negative
sharam aani chahiye tujhe apni soch pe,Negative
sharam aani chahiye tujhe is harkat pe,Negative
sharam ka koi kaam nahi tere liye,Negative
sharam kar apni harkat pe gadhe,Negative
sharam kar apni is bakwas pe,Negative
sharam kar tujhe tou sharam aani chahiye,Negative
sharam karti hai tujhe is baat pe,Negative
sharam nahi aati teri is harkat pe,Negative
sharam nahi aati teri ye soch ke,Negative
sharam nahi aati tujhe ye karte hue,Negative
situation bilkul normal chal rahi hai,Neutral
situation normal chal rahi hai yaar,Neutral
situation normal chal rahi hai,Neutral
situation normal hai abhi,Neutral
situation okay hai abhi,Neutral
situation okay hai filhaal,Neutral
situation stable hai aaj bhi,Neutral
situation stable hai filhaal,Neutral
situation stable hai kuch khas nahi,Neutral
situation stable hai kuch nahi khaas,Neutral
situation theek hai abhi ke liye,Neutral
situation theek hai filhaal,Neutral
situation theek hai yaar,Neutral
subhan allah bohat pyari jagah hai,Positive
subhanallah bohat pyari baat ki hai,Positive
subhanallah kya cheez bani hai,Positive
teri auqat nahi hai mujhse baat karne ki,Negative
teri auqat nahi hai ye bolne ki,Negative
teri baat sun ke dimagh kharab hota hai,Negative
teri harkat bilkul galat thi,Negative
teri maa ka yaar tu kya cheez hai,Negative
teri maa kasam bilkul jhootha aur makkar,Negative
teri maa kasam gandu hai tu bilkul,Negative
teri maa kasam ghatia insaan hai tu,Negative
teri maa kasam kameena insaan hai tu,Negative
teri maa kasam kameene ki aulad,Negative
teri maa kasam kitna bura insaan hai,Negative
teri maa kasam kitna ghatia hai tu,Negative
teri maa kasam kuch bhi dhang ka nahi tujhmein,Negative
teri maa kasam kuch nahi tujh mein,Negative
teri maa kasam kya ghatia insaan hai tu,Negative
teri maa kasam kya nalayak hai tu,Negative
teri maa kasam poora makkar nikla,Negative
teri maa kasam tu to beghairat nikla,Negative
teri maa kasam tune bohut bura kiya,Negative
teri maa kasam tune hadd kar di aaj,Negative
teri maa kasam tune hadd kar di yaar,Negative
teri maa kasam tune hadd kar di,Negative
teri maa kasam tune naak kataai,Negative
teri maa kasam tune poori izzat kharab ki,Negative
teri maa kasam ye kya harkat hai,Negative
teri maa kasam ye kya soch hai teri,Negative
teri maa ki _____ band kar ye bakwas,Negative
teri maa ki aankh kya problem hai tujhe,Negative
teri maa ki aankh ye kya bakwas hai,Negative
teri maa ki kasam kitna jhootha hai tu,Negative
teri mehnat waqi qabil e taareef hai,Positive
teri soch bilkul gutter ki nali hai,Negative
teri soch gutter se bhi gandi hai,Negative
teri soch itni ghatia kyun hai,Negative
teri soch mein koi dam nahi,Negative
teri soch to gutter ki nali se bhi buri,Negative
teri soch tou gutter se bhi gandi hai,Negative
teri zuban pe lagaam nahi koi,Negative
theek chal raha hai din,Neutral
theek chal raha hai sab kuch,Neutral
theek chal rahi hai zindagi,Neutral
theek hai bas chalata hai,Neutral
theek hai bilkul theek,Neutral
theek hai chalata hai,Neutral
theek hai chalata rahe ga,Neutral
theek hai kuch khaas nahi,Neutral
theek hai kuch khas nahi,Neutral
theek hai kuch zyada nahi kuch kam nahi,Neutral
theek hai kuch zyada nahi,Neutral
theek hai situation kuch khas nahi,Neutral
theek tha bas itna hi keh sakta hoon,Neutral
theek tha bas itna hi,Neutral
theek tha bas okay okay,Neutral
theek tha bas theek,Neutral
theek tha din kuch khas nahi,Neutral
theek tha din sab okay raha,Neutral
theek tha kuch khas nahi tha,Neutral
theek tha lekin bahut zyada nahi,Neutral
theek tha na maza na bore,Neutral
theek tha sab kuch,Neutral
theek tha wahi wala din guzra,Neutral
theek thaak chal raha hai sab,Neutral
theek thaak din guzara aaj,Neutral
theek thaak din guzra,Neutral
theek thaak din raha,Neutral
theek thaak din tha bas,Neutral
theek thaak din tha,Neutral
theek thaak hai sab kuch,Neutral
theek thaak raha din,Neutral
theek thaak raha sab kuch,Neutral
theek thaak roz ki zindagi hai,Neutral
theek thaak service thi kuch khas nahi,Neutral
theek thaak service thi,Neutral
theek thaak tha sab kuch,Neutral
theek thaak tha yaar kuch bhi nahi,Neutral
thoda time lag sakta hai magar chalega,Neutral
thodi si problem hai magar chalega,Neutral
tu bilkul badzaat aur beghairat insaan hai,Negative
tu bilkul badzaat aur nalayak nikla,Negative
tu bilkul beghairat aur nalayak hai,Negative
tu bilkul harami aur beghairat hai,Negative
tu bilkul harami aur makkar nikla,Negative
tu bilkul hi kameena aur makkar hai,Negative
tu bilkul hi nalayak aur badzaat,Negative
tu bilkul hi suar ki aulad hai,Negative
tu bilkul janwar ki tarah hai,Negative
tu bilkul jhootha aur beghairat nikla,Negative
tu bilkul kutta aur harami hai,Negative
tu bilkul naali ka keeda hai,Negative
tu bilkul suar jaisa hai yaar,Negative
tu bilkul suar ki tarah ganda hai,Negative
tu to bilkul hi badzaat nikla,Negative
tu to bilkul hi ganda aur jhootha nikla,Negative
tu to poora badzaat aur beghairat hai,Negative
tu to poora badzaat aur makkar nikla,Negative
tu to poora besharam aur ganda hai,Negative
tu to poora besharam aur nalayak hai,Negative
tu to poora chor aur dhoka dene wala,Negative
tu to poora chor aur makkar nikla,Negative
tu to poora dheet aur beghairat hai,Negative
tu to poora dheet aur besharam hai,Negative
tu to poora dheet aur nalayak nikla,Negative
tu to poora ganda aur beghairat insaan hai,Negative
tu to poora ganda aur makkar insaan,Negative
tu to poora harami aur chor nikla,Negative
tu to poora harami aur dhoka dene wala,Negative
tu to poora harami aur jhootha hai,Negative
tu to poora kameena nikla,Negative
tu to poora makkar aur dhoka dene wala,Negative
tu to poora nalayak aur bekar hai,Negative
tu to poora nalayak aur bekar nikla,Negative
tu to poori tarah se kameena aur makkar,Negative
tujhe dekh ke dil jalta hai,Negative
tujhe dekh ke hi gussa aa jaata hai,Negative
tujhe dekh ke hi gussa aata hai,Negative
tujhe dekh ke hi jee ghabrata hai,Negative
tujhe dekh ke hi khoon khaul uthta hai,Negative
tujhe dekh ke hi naak charhti hai,Negative
tujhe dekh ke hi naak mein dum aata hai,Negative
tujhe dekh ke sharam aati hai mujhe,Negative
tujhe dekh ke taras aata hai,Negative
tujhe sharam nahi aati aisa karne mein,Negative
tujhse baat karna apna waqt barbaad karna,Negative
tujhse baat karna apni izzat khoona,Negative
tujhse baat karna narak ka darwaza hai,Negative
tujhse baat karna tou narak hai,Negative
tujhse baat karna tou waqt barbaad karna hai,Negative
tujhse baat karna waqt ki barbaadi hai,Negative
tujhse baat karte bhi sharam aati hai,Negative
tujhse baat karte waqt jee karta hai thook doon,Negative
tujhse zyada bekar aur kameena koi nahi,Negative
tujhse zyada bekar aur kameena nahi,Negative
tujhse zyada bekar aur napasand koi nahi,Negative
tujhse zyada bekar koi nahi is duniya mein,Negative
tujhse zyada ghatia koi nahi,Negative
tujhse zyada kameena koi nahi yaar,Negative
tujhse zyada makkar koi nahi,Negative
tujhse zyada nalayak koi nahi,Negative
waah yaar kya mast experience tha,Positive
waah yaar kya mast kaam kiya hai,Positive
wahi routine wahi kaam wahi zindagi,Neutral
wahi routine wahi zindagi,Neutral
wahi routine zindagi chal rahi hai,Neutral
wahi scene hai kuch naya nahi,Neutral
wahi scene hai roz ka,Neutral
wahi scene hai roz ki tarah,Neutral
wahi theek theek chal raha hai,Neutral
wahi wala din wahi wala kaam,Neutral
wahi wala routine hai abhi bhi,Neutral
wahi wala scene hai abhi bhi,Neutral
wahi wala scene kuch naya nahi,Neutral
wahi wali routine hai abhi bhi,Neutral
wahi wali zindagi chal rahi hai,Neutral
waqt guzar gaya normal,Neutral
waqt guzar gaya theek se,Neutral
waqt guzar gaya wahi wali tarah,Neutral
waqt guzar raha hai bas,Neutral
waqt guzar raha hai normal tarah se,Neutral
waqt guzar raha hai normal tarah,Neutral
waqt guzar raha hai normal,Neutral
waqt guzra na zyada acha na bura,Neutral
waqt normal guzar raha hai,Neutral
waqt normal guzra kuch alag nahi,Neutral
waqt normal se guzra,Neutral
waqt okay se guzra,Neutral
waqt theek guzra hai,Neutral
waqt theek guzra kuch khas nahi,Neutral
waqt theek guzra roz ki tarah,Neutral
waqt theek se guzar gaya,Neutral
waqt theek se guzar raha hai,Neutral
waqt theek se guzra kuch alag nahi,Neutral
waqt theek se guzra,Neutral
yaar bilkul mast cheez hai ye,Positive
yaar bohut aala kaam kiya hai,Positive
yaar bohut acha aur mast din tha,Positive
yaar bohut acha insaan hai tu,Positive
yaar bohut acha kaam kar raha hai tu,Positive
yaar bohut acha laga milke,Positive
yaar bohut acha laga sun ke yaar,Positive
yaar bohut acha laga sun ke,Positive
yaar bohut acha laga yaar,Positive
yaar bohut acha lagta hai milke tujhse,Positive
yaar bohut acha lagta hai,Positive
yaar bohut acha mahol bana hai,Positive
yaar bohut acha mahol tha,Positive
yaar bohut acha tajruba raha,Positive
yaar bohut acha tajruba tha ye,Positive
yaar bohut acha waqt guzra,Positive
yaar bohut acha waqt tha ye,Positive
yaar bohut achi feeling thi,Positive
yaar bohut achi niyat hai teri,Positive
yaar bohut khoobsurat soch hai,Positive
yaar bohut mast aur aala tajruba tha,Positive
yaar bohut mast aur zabardast tha ye din,Positive
yaar bohut mast cheez hai ye,Positive
yaar bohut mast product hai ye,Positive
yaar bohut maza aaya sach mein,Positive
yaar bohut maza aaya yaar sach mein,Positive
yaar bohut maza aaya ye sun ke,Positive
yaar bohut pyara moment tha ye,Positive
yaar bohut pyari soch hai teri,Positive
yaar bohut shandar aur khoobsurat tha,Positive
yaar bohut umda kaam kiya hai,Positive
yaar bohut zabardast aur shandar hai,Positive
yaar dil khush ho gaya bilkul,Positive
yaar dil khush ho gaya sun ke,Positive
yaar dil khush kar diya aaj,Positive
yaar dil khush kar diya tune,Positive
yaar ekdum mast tajruba tha,Positive
yaar ekdum mast time tha,Positive
yaar itna ganda kyun karta hai,Negative
yaar kya aala aur first class hai ye,Positive
yaar kya aala aur mast cheez hai,Positive
yaar kya aala aur shandar jagah,Positive
yaar kya cheez bani hai kamaal,Positive
yaar kya ghazab ka kaam kiya,Positive
yaar kya kamaal ka aur aala band hai tu,Positive
yaar kya kamaal ka banda hai tu,Positive
yaar kya kamaal ka insaan hai tu,Positive
yaar kya kamaal ka show tha,Positive
yaar kya khoobsurat aur mast tha,Positive
yaar kya khoobsurat aur zabardast tha,Positive
yaar kya khoobsurat soch hai teri,Positive
yaar kya mast aur khoobsurat jagah hai,Positive
yaar kya mast aur umda cheez hai,Positive
yaar kya mast aur zabardast experience,Positive
yaar kya mast film thi,Positive
yaar kya mast insaan hai tu,Positive
yaar kya mast moment tha yaar,Positive
yaar kya mast moment tha ye,Positive
yaar kya pyara aur dil chhune wala tha,Positive
yaar kya shandar aur mast jagah hai,Positive
yaar kya shandar aur zabardast insaan hai,Positive
yaar kya umda aur mast cheez hai,Positive
yaar kya umda aur shandar tajruba,Positive
yaar kya zabardast aur mast cheez hai,Positive
yaar kya zabardast aur shandar show tha,Positive
yaar kya zabardast aur shandar waqt tha,Positive
yaar kya zabardast baat hai ye,Positive
yaar kya zabardast baat ki hai,Positive
yaar kya zabardast cheez banaai hai,Positive
yaar kya zabardast cheez hai ye,Positive
yaar kya zabardast insaan hai tu,Positive
yaar kya zabardast moment tha,Positive
yaar maza aa gaya bilkul on hai,Positive
yaar maza aa gaya bilkul sach mein,Positive
yaar maza aa gaya bohat lazziz khana tha,Positive
yaar maza aa gaya bohut acha tha,Positive
yaar maza aa gaya sach mein,Positive
yaar maza aa gaya teri baat se,Positive
yaar scene bilkul on hai ekdum mast,Positive
yaar scene bilkul on hai mast,Positive
yaar scene ekdum mast hai,Positive
yaar scene ekdum on hai,Positive
yaar scene on hai bilkul ekdum mast,Positive
yaar scene on hai bilkul ekdum,Positive
yaar scene on hai bilkul mast hai,Positive
yaar scene on hai bilkul mast,Positive
yaar scene on hai ekdum mast,Positive
yaar scene on hai ekdum,Positive
yaar scene on hai yaar sach mein,Positive
yaar sun kya acha moment tha,Positive
yaar sun kya kamaal ka moment tha,Positive
yaar sun kya kamaal ka waqt tha,Positive
yaar sun kya mast hua aaj,Positive
yaar sun kya mast tajruba tha,Positive
yaar sun scene bilkul on hai,Positive
yaar sun ye cheez bohut mast hai,Positive
yaar teri baat sunke dil gardaan hua,Positive
yaar teri mehnat qaabil e taareef hai,Positive
yaar tu bilkul kamaal ka insaan hai,Positive
yaar tu bilkul mast insaan hai,Positive
yaar tu bohat acha hai,Positive
yaar tu bohat talented hai,Positive
yaar tu bohut acha aur umda insaan hai,Positive
yaar tu bohut acha dost hai,Positive
yaar tu bohut kamaal ka banda hai,Positive
yaar tu bohut shandar insaan hai,Positive
yaar tu bohut talented aur mehnat wala hai,Positive
yaar tu bohut umda insaan hai,Positive
yaar tu ekdum mast banda hai,Positive
yaar tu jab bolata hai dil khush ho jaata hai,Positive
yaar tu kamaal ka aur mast banda hai,Positive
yaar tu mast aur kamaal ka hai,Positive
yaar tu ne aaj tou kamaal kar diya,Positive
yaar tu ne bohut khoobsurat kaam kiya,Positive
yaar tu ne bohut mehnat ki hai,Positive
yaar tu ne kamaal kar diya aaj,Positive
yaar tu ne kamaal kar diya,Positive
yaar tu nے bohat acha kiya,Positive
yaar tu pehle bhi acha tha aur aaj bhi,Positive
yaar ye cheez bohut aala aur mast hai,Positive
yaar ye tajruba bohut mast aur shandar tha,Positive
yaar ye tou mast hai,Positive
ye awaaz bilkul nahi acchi lagti,Negative
ye awaaz sunke sir phirta hai,Negative
ye bakwaas band kar warna maar khaega,Negative
ye bakwas band kar haramzade,Negative
ye bakwas band kar warna theek nahi hoga,Negative
ye banda bilkul beghairat aur ganda hai,Negative
ye banda bilkul beghairat hai,Negative
ye banda bilkul bekar aur jhootha hai,Negative
ye banda bilkul choor hai,Negative
ye banda bilkul chor aur beghairat hai,Negative
ye banda bilkul chor aur jhootha hai,Negative
ye banda bilkul gadha aur bekar hai,Negative
ye banda bilkul gadha aur kaam ka nahi,Negative
ye banda bilkul gadhaa hai,Negative
ye banda bilkul ghatia aur napasand hai,Negative
ye banda bilkul haraam khor hai,Negative
ye banda bilkul harkat wala hai,Negative
ye banda bilkul kaam ka nahi,Negative
ye banda bilkul naali ka keeda hai,Negative
ye banda bilkul napasand aur ganda hai,Negative
ye banda bilkul napasand aur ganda,Negative
ye banda bilkul napasand hai mujhe,Negative
ye banda bilkul pagal aur harkat wala,Negative
ye banda bilkul pagal hai,Negative
ye banda bilkul ullu ka pattha hai,Negative
ye banda gadha aur jhootha hai,Negative
ye banda gadha hai ekdum,Negative
ye banda ganda aur beghairat hai,Negative
ye banda haraam ka paisa khata hai,Negative
ye banda haraamzada nikla,Negative
ye banda harami hai bilkul,Negative
ye banda harkat pe harkat karta hai,Negative
ye banda harkat wala aur ganda,Negative
ye banda jhootha aur makkar hai,Negative
ye banda jhootha hai bilkul,Negative
ye banda poora bakwaas hai,Negative
ye banda poora beghairat nikla,Negative
ye banda poora bekar nikla,Negative
ye banda poora jhootha aur makkar,Negative
ye banda poora jhootha hai,Negative
ye banda poora pagal aur ganda hai,Negative
ye banda pura ullu ka pattha hai,Negative
ye banda sab se jhootha insaan hai,Negative
ye banda sirf apna sochta hai,Negative
ye banda ullu ka pattha aur faltu hai,Negative
ye banda ullu ka pattha aur makkar hai,Negative
ye banda ullu ka pattha aur napasand,Negative
ye banda ullu ka pattha hai bilkul,Negative
ye bohat acha kaam hai,Positive
ye cheez bilkul bekaar aur faltu hai,Negative
ye cheez bilkul faltu aur bekar hai,Negative
ye cheez bilkul faltu aur waste hai,Negative
ye cheez bilkul kaam ki nahi hai,Negative
ye cheez bilkul kaam ki nahi,Negative
ye cheez bilkul kam darajay ki hai,Negative
ye cheez bilkul waste hai poori,Negative
ye cheez bohat bekar hai bilkul,Negative
ye cheez dekh ke hi jee jalta hai,Negative
ye cheez fraud hai bilkul,Negative
ye cheez ne poora paisa barbaad kiya,Negative
ye cheez poori faltu aur bakwas hai,Negative
ye cheez poori tarah se bekar nikli,Negative
ye cheez poori tarah se kaam ki nahi,Negative
ye harkat bilkul maafi ke qaabil nahi,Negative
ye harkat bilkul maafi ke qabil nahi thi,Negative
ye harkat bilkul nahi bhoolta,Negative
ye harkat bilkul nahi chalti,Negative
ye harkat bohat ghatia thi,Negative
ye harkat dekh ke khoon khaul uthta hai,Negative
ye harkat kisi kaam ki nahi,Negative
ye harkat tou shaytan bhi nahi karta,Negative
ye khana bohat lazziz tha,Positive
ye product bohat acha nikla,Positive
ye product total fraud nikla,Negative
ye product total waste of money hai,Negative
ye sab dhoka hai kuch nahi,Negative
ye sab faltu hai bilkul,Negative
ye sab poora dhoka aur fraud hai,Negative
ye to mujhe tou laga poora dhoka,Negative
ye to poora fraud aur dhoka hai,Negative
ye tou bakwaas aur faltu hai,Negative
ye tou bilkul bakwaas nikla,Negative
ye tou bilkul bekar aur jalil hai,Negative
ye tou bilkul faltu aur bekaar nikla,Negative
ye tou bilkul faltu nikla,Negative
ye tou bilkul hi bekar aur napasand,Negative
ye tou bilkul hi bekar aur napasandida hai,Negative
ye tou bilkul hi bura aur faltu tha,Negative
ye tou bilkul jhoot bol raha hai,Negative
ye tou bilkul pagalpan hai,Negative
ye tou bilkul si bekar cheez hai,Negative
ye tou dimagh ka diwala nikal gaya,Negative
ye tou dimagh kharab karta hai,Negative
ye tou ekdum bekar aur ganda tha,Negative
ye tou hadd hai bilkul,Negative
ye tou mujhe bohat ganda laga,Negative
ye tou poora waqt waste tha,Negative
ye tou poori harkat ghatia hai,Negative
ye tou poori tarah se bakwas tha,Negative
ye tou poori tarah se bekar hai,Negative
ye tou poori tarah se fraud aur dhoka,Negative
ye tou sar dard hai poora,Negative
ye tou sir dard se bhi bura hai,Negative
ye tou sir ka dard hai bilkul,Negative
zabardast yaar ekdum mast,Positive
zindagi chal rahi hai theek se,Neutral
zindagi chal rahi hai theek thaak,Neutral
zindagi theek se guzar rahi hai,Neutral
zyada kuch nahi aaj bhi,Neutral
zyada kuch nahi bas guzara hai,Neutral
zyada kuch nahi hua aaj,Neutral
zyada kuch nahi normal hai,Neutral
zyada kuch nahi sab normal hai,Neutral
zyada kuch nahi sab okay hai,Neutral
zyada kuch nahi wahi scene hai,Neutral
zyada nahi socha bas din guzra,Neutral
